N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
112,CJ,"102,500","1,500",-1.44%,"5,000","29,906","29,177",17.59,"72,486",-270.45,1.89,
113,SK케미칼,"253,500","2,000",-0.78%,"5,000","29,790","11,751",17.97,"42,269",11.50,30.49,
114,만도,"63,400",600,-0.94%,"1,000","29,771","46,957",24.25,"204,878",63.98,0.37,
115,동서,"29,800",100,+0.34%,500,"29,711","99,700",3.42,"87,641",25.98,8.61,
116,메리츠금융지주,"22,000",100,-0.45%,500,"29,482","134,011",7.84,"99,102",5.15,16.06,
117,LG화학우,"380,000","3,500",+0.93%,"5,000","29,217","7,689",66.50,"12,005",16.54,N/A,
118,제일기획,"25,350",250,-0.98%,200,"29,163","115,041",33.99,"295,023",17.58,16.11,
119,한샘,"123,500",500,-0.40%,"1,000","29,064","23,534",19.32,"895,421",39.62,10.83,
120,BGF리테일,"168,000",500,-0.30%,"1,000","29,037","17,284",31.99,"13,858",22.94,18.60,
121,KCC,"324,000","6,000",+1.89%,"5,000","28,792","8,886",11.78,"32,689",3.34,12.79,
122,DL이앤씨,"148,500","1,000",-0.67%,"5,000","28,748","19,359",28.80,"93,476",N/A,N/A,
123,포스코인터내셔널,"23,300","1,200",-4.90%,"5,000","28,746","123,375",12.45,"1,689,525",11.12,7.69,
124,한솔케미칼,"250,000",500,+0.20%,"5,000","28,338","11,335",41.91,"72,049",21.85,24.50,
125,DB하이텍,"63,400","2,800",-4.23%,"5,000","28,149","44,399",18.72,"2,130,297",17.77,23.07,
126,현대차우,"114,000",0,0.00%,"5,000","27,767","24,357",58.91,"39,934",13.80,N/A,
127,신세계,"282,000","2,500",+0.89%,"5,000","27,763","9,845",28.45,"66,139",-86.85,-2.81,
128,OCI,"113,500","2,500",-2.16%,"5,000","27,069","23,849",16.13,"191,839",-17.79,-9.89,
129,더존비즈온,"88,500",0,0.00%,500,"26,851","30,341",39.08,"201,232",49.28,15.09,
130,메리츠화재,"22,000",700,+3.29%,500,"26,538","120,625",10.91,"345,609",5.57,16.91,
